origin_crs,dest_crs,single_fare_gbp,ticket_code
,VIC,4.0,TKR
BAN,LON,52.7,SDS
FWY,LON,92.8,SDS
UNI,LON,92.8,SDS
KGS,LON,52.7,SDS
BBS,LON,92.8,SDS
TYS,LON,92.8,SDS
DZY,LON,92.8,SDS
EWD,LON,92.8,SDS
HLG,LON,92.8,SDS
THW,LON,92.8,SDS
HNL,LON,92.8,SDS
DDG,LON,91.5,SDS
SRL,LON,92.8,SDS
SOL,LON,92.2,SDS
WMR,LON,92.2,SDS
ACG,LON,92.8,SDS
SMA,LON,92.8,SDS
WYT,LON,92.8,SDS
OLT,LON,92.8,SDS
SRI,LON,92.8,SDS
WDE,LON,92.8,SDS
YRD,LON,92.8,SDS
TLK,LON,92.8,SDS
WTE,LON,92.8,SDS
,LON,94.4,SDS
WWW,LON,92.8,SDS
SAV,LON,92.8,SDS
WMC,LON,92.8,SDS
BKD,LON,95.9,SDS
HAG,LON,95.9,SDS
HBY,LON,113.4,SDS
KID,LON,95.9,SDS
CLV,LON,92.2,SDS
HTN,LON,91.0,SDS
LPW,LON,91.5,SDS
LMS,LON,90.3,SDS
WRW,LON,91.0,SDS
ROW,LON,92.8,SDS
LGG,LON,92.8,SDS
COS,LON,95.9,SDS
CRA,LON,92.8,SDS
LYE,LON,92.8,SDS
OHL,LON,92.8,SDS
SBT,LON,95.9,SDS
SBJ,LON,95.9,SDS
WLN,LON,95.9,SDS
TFC,LON,95.9,SDS
ASC,LON,113.4,SDS
BMV,EUS,65.4,SOS
BMV,LON,113.4,SDS
CNM,LON,113.4,SDS
EVE,LON,57.8,SDS
GCR,LON,113.4,SDS
SHU,LON,105.0,SDS
STD,LON,105.0,SDS
LED,LON,63.9,SDS
SIA,LST,20.1,SDS
SIA,SRA,16.6,SDS
SIA,STP,26.9,SDS
HYB,LON,56.9,SDS
MIM,LON,53.6,SDS
LYD,LON,113.4,SDS
CWL,LON,63.9,SDS
DTW,EUS,65.4,SOS
DTW,LON,113.4,SDS
MVL,LON,63.2,SDS
PSH,LON,58.5,SDS
GMV,LON,63.2,SDS
ZLW,LON,4.5,SDS
ZLW,SRA,7.0,SDS
APD,LON,4.0,TKR
APD,STP,43.4,SDS
AFK,LON,4.0,TKR
AFK,STP,41.0,SDS
BSR,LON,50.5,SDS
BSR,STP,50.6,SDS
CRT,LON,42.3,SDS
CRT,STP,42.4,SDS
CIL,LON,41.9,SDS
CIL,STP,42.0,SDS
DEA,LON,50.5,SDS
DEA,STP,50.6,SDS
MAR,LON,48.8,SDS
MAR,STP,48.9,SDS
MSR,LON,50.5,SDS
MSR,STP,50.6,SDS
ORE,LON,4.0,TKR
ORE,STP,45.6,SDS
RAM,LON,50.5,SDS
RAM,STP,50.6,SDS
RYE,LON,4.0,TKR
RYE,STP,45.6,SDS
SDG,LON,44.7,SDS
SDG,STP,44.8,SDS
SDW,LON,50.5,SDS
SDW,STP,50.6,SDS
TOK,LON,4.0,TKR
TOK,STP,45.6,SDS
STU,LON,42.7,SDS
STU,STP,42.8,SDS
WHA,LON,44.7,SDS
WHA,STP,44.8,SDS
WYE,LON,41.2,SDS
WYE,STP,41.3,SDS
DVP,LON,50.5,SDS
DVP,STP,50.6,SDS
DMP,LON,50.5,SDS
DMP,STP,50.6,SDS
DLH,LON,4.0,TKR
DLH,STP,45.6,SDS
HMT,LON,4.0,TKR
HMT,STP,41.7,SDS
KSN,LON,50.5,SDS
KSN,STP,50.6,SDS
MTM,LON,50.5,SDS
MTM,STP,50.6,SDS
WAM,LON,50.5,SDS
WAM,STP,50.6,SDS
WSE,LON,4.0,TKR
WSE,STP,45.6,SDS
BKJ,LON,7.0,SDS
CLK,LON,7.0,SDS
ELE,LON,7.0,SDS
HYS,LON,8.5,SDS
LEW,LON,4.5,SDS
LSY,LON,7.0,SDS
WWI,LON,8.5,SDS
NBC,LON,7.0,SDS
SAJ,LON,4.5,SDS
BGM,LON,5.9,SDS
BMS,LON,8.5,SDS
EYN,LON,11.9,SDS
EYN,STP,11.9,SDS
HNH,LON,4.5,SDS
NHD,LON,4.5,SDS
OTF,LON,15.3,SDS
OTF,STP,15.3,SDS
PNE,LON,7.0,SDS
SMY,LON,9.4,SDS
SEH,LON,14.5,SDS
SEH,STP,14.5,SDS
SAY,LON,9.6,SDS
SAY,STP,9.6,SDS
BEC,LON,7.0,SDS
CFT,LON,5.9,SDS
KMS,LON,19.9,SDS
KMS,STP,20.0,SDS
KTH,LON,7.0,SDS
BRX,LON,4.5,SDS
LGJ,BFR,4.5,SDS
LGJ,LON,4.5,SDS
RVB,LON,7.0,SDS
SRT,LON,7.0,SDS
SYH,LON,5.9,SDS
WDU,LON,5.9,SDS
BNH,LON,9.4,SDS
BBL,LON,15.3,SDS
BBL,STP,15.3,SDS
BSD,LON,30.6,SDS
BSD,STP,30.7,SDS
BVD,LON,8.5,SDS
BXY,LON,9.4,SDS
CHG,LON,35.6,SDS
CHG,STP,35.7,SDS
CLD,LON,9.4,SDS
CRY,LON,9.4,SDS
DFD,BFR,4.0,TKR
DFD,LBG,4.0,TKR
DFD,LON,9.6,SDS
DFD,STP,4.0,TKR
